2. TRIFD,34. CHEMICAL
00708LLLLYSTATE,"['Acetone', 'Acetonitrile', 'Benzyl chloride', 'Bromine', 'Dimethylamine', 'Ethylene glycol', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Methyl tert-butyl ether', 'Naphthalene', 'Toluene', 'Triethylamine', 'n-Hexane']"
00709CRVCRCALLE,['Ammonia']
00709STRKSCARR3,"['Aluminum (fume or dust)', 'Ammonia', 'Certain glycol ethers', 'Ethylbenzene', 'Formaldehyde', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'n-Butyl alcohol', 'n-Hexane']"
00715DSTLR331AH,"['Chlorine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00715SSCPRSABEN,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', 'Dichlorodifluoromethane (CFC-12)', 'Ethylene oxide', 'Freon 113 (CFC-113)']"
00715SSLRNSABAN,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', 'Acetone', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00715ZMMRCTURPE,['Cobalt']
00717RMSTRCARR1,['Phosphoric acid']
00718BCKMNELDUQ,['Phosphoric acid']
00721CRBGNRD191,"['Copper', 'Styrene']"
00723FLRQMROADN,"['Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Copper compounds', 'Methanol']"
00724RCHMNSTATE,"['1,2-Dichloroethane', 'Asbestos (friable)', 'Benzene', 'Carbon tetrachloride', 'Molybdenum trioxide', 'Nickel', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene', 'Xylene (mixed isomers)', 'n-Hexane']"
00724STHPRRD127,"['Ammonia', 'Certain glycol ethers', 'Diethanolamine', 'Ethylbenzene', 'Methanol', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Xylene (mixed isomers)']"
00725MNFCTCARR1,['Toluene']
00731CHLNPELTUQ,"['1,1,1-Trichloroethane', 'Ammonia', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)']"
00731NDSTR1KMSO,"['Ammonia', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00731PRLSSFIRMD,"['Benzene', 'Ethylbenzene', 'Toluene', 'Xylene (mixed isomers)', 'n-Hexane']"
00731SRLKNAVENU,['Acetone']
00732BLCHMROADN,"['1,2-Dichloroethane', '2-Methoxyethanol', 'Acetone', 'Chlorine', 'Dichloromethane', 'Diethanolamine', 'Hydrazine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Phosphoric acid', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Toluene']"
00732CHCKPSABAN,"['Chlorine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methyl ethyl ketone', 'Phosphoric acid']"
00735SDDSNRTEPR,['Methanol']
00737CCCLPRD735,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Phosphoric acid']"
00738PLLPRRD194,"['1,1-Dichloro-1-fluoroethane (HCFC-141b)', 'Freon 113 (CFC-113)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00738PLLPRRD19A,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'tert-Butyl alcohol']"
00739SMTHKCARR1,"['Chloroform', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00740STNRCPTORE,"['Dichloromethane', 'Isopropyl alcohol (only persons who manufacture by the strong acid process are subject, no supplier notification)']"
00742GLMRTSTATE,"['1,1,1-Trichloroethane', '1,4-Dioxane', 'C.I. Basic Green 4', 'Chlorine', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Tetrachloroethylene']"
00743CRTRPRT115,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
